ID"";"tombe";"site";"province";"zone_geo";"amphore";"monnaie";"lampe";"armement";"parure";"strigile";"instrument.de.toilette";"miroir";"vaisselle.métallique";"vaisselle.en.verre";"matériaux.précieux";"char";"lit.funéraire";"instrument.écriture";"quantité.objet";"tombe_multiple";"sexe.defunt";"classe.age.defunt";"date_debut";"date_fin";"intervalle_personnalise";"groupe_cah";"diversite"
"67";"AVEC_Structure 137b";"AVEC";"Germanie";"Gaule du centre-est";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;"non";"masculin";"adulte";130;160;"100-300";"5";1
"68";"AVEC_Structure 138";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;"non";"masculin";"adulte";130;160;"100-300";"5";0
"69";"AVEC_Structure 140/141";"AVEC";"Germanie";"Gaule du centre-est";0;0;1;0;0;0;0;0;0;1;0;0;0;0;6;"non";"masculin";"adulte";50;130;"1-100";"6";2
"70";"AVEC_Structure 142";"AVEC";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;0;0;0;0;0;11;"non";"masculin";"adulte";150;230;"100-300";"4";1
"71";"AVEC_Structure 144";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;"non";"masculin";"adulte";150;230;"100-300";"4";1
"72";"AVEC_Structure 147";"AVEC";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"masculin";"adulte";150;230;"100-300";"4";1
"73";"AVEC_Structure 156b";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"non";"masculin";"adulte";100;150;"100-300";"7";0
"74";"AVEC_Structure 158";"AVEC";"Germanie";"Gaule du centre-est";0;1;1;0;0;0;0;0;0;1;0;0;0;0;9;"non";"masculin";"adulte";130;160;"100-300";"5";3
"75";"AVEC_Structure 159";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"masculin probable";"adulte";150;230;"100-300";"4";0
"76";"AVEC_Structure 16/60/114";"AVEC";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;1;0;0;0;0;2;"non";"masculin";"adulte";130;160;"100-300";"5";2
"77";"AVEC_Structure 160";"AVEC";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"masculin";"adulte";150;230;"100-300";"4";1
"78";"AVEC_Structure 161";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"masculin";"adulte";100;150;"100-300";"7";0
"79";"AVEC_Structure 162";"AVEC";"Germanie";"Gaule du centre-est";0;1;0;0;0;1;0;0;0;0;0;0;0;1;10;"non";"féminin";"adulte";130;160;"100-300";"5";3
"80";"AVEC_Structure 164";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"non";"masculin";"adulte";150;230;"100-300";"4";0
"81";"AVEC_Structure 165a ou b";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";130;160;"100-300";"5";0
"82";"AVEC_Structure 165b";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"féminin probable";"adulte";130;160;"100-300";"5";0
"83";"AVEC_Structure 167";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;"non";"indéterminé";"enfant";150;230;"100-300";"4";1
"84";"AVEC_Structure 17";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;"non";"féminin";"adulte";100;150;"100-300";"7";1
"85";"AVEC_Structure 17 ?";"AVEC";"Germanie";"Gaule du centre-est";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;"non";"féminin";"adulte";100;150;"100-300";"7";1
"86";"AVEC_Structure 174";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;"non";"indéterminé";"adulte";150;230;"100-300";"4";1
"87";"AVEC_Structure 175a";"AVEC";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;1;0;0;0;0;2;"non";"féminin";"adulte";130;160;"100-300";"5";2
"88";"AVEC_Structure 175a ou b";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;"oui";"mixte";"mixte (adulte + enfant)";130;160;"100-300";"5";0
"89";"AVEC_Structure 175b";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"enfant";130;160;"100-300";"5";0
"90";"AVEC_Structure 177/178";"AVEC";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;"non";"masculin";"adulte";130;160;"100-300";"5";1
"91";"AVEC_Structure 179";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;"non";"masculin";"adulte";50;130;"1-100";"6";1
"92";"AVEC_Structure 181";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"féminin";"adulte";150;230;"100-300";"4";0
"93";"AVEC_Structure 183";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"non";"féminin";"adulte";130;160;"100-300";"5";0
"94";"AVEC_Structure 185";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"masculin";"adulte";100;150;"100-300";"7";0
"95";"AVEC_Structure 187";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;1;0;0;0;7;"non";"féminin probable";"adulte";150;230;"100-300";"4";1
"96";"AVEC_Structure 19/148";"AVEC";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";150;230;"100-300";"4";1
"97";"AVEC_Structure 191";"AVEC";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;"non";"féminin";"adulte";120;250;"100-300";"4";1
"98";"AVEC_Structure 192";"AVEC";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;1;0;0;0;0;10;"non";"indéterminé";"enfant";120;250;"100-300";"4";2
"99";"AVEC_Structure 194";"AVEC";"Germanie";"Gaule du centre-est";0;1;0;0;1;0;0;0;0;0;0;0;0;0;3;"non";"masculin probable";"adulte";150;230;"100-300";"4";2
"100";"AVEC_Structure 195";"AVEC";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;"non";"masculin probable";"adulte";150;230;"100-300";"4";1
"101";"AVEC_Structure 196";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;"non";"féminin";"adulte";100;150;"100-300";"7";1
"102";"AVEC_Structure 202";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"enfant";100;150;"100-300";"7";0
"103";"AVEC_Structure 203";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"masculin";"adulte";130;160;"100-300";"5";0
"104";"AVEC_Structure 206";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"oui";"indéterminé";"mixte (adulte + enfant)";50;130;"1-100";"6";0
"105";"AVEC_Structure 216/217";"AVEC";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;1;0;0;0;0;2;"non";"masculin probable";"adulte";130;160;"100-300";"5";2
"106";"AVEC_Structure 220";"AVEC";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;1;0;0;0;0;5;"non";"indéterminé";"adulte";130;160;"100-300";"5";2
