"ID";"tombe";"site";"province";"zone_geo";"amphore";"monnaie";"lampe";"armement";"parure";"strigile";"instrument.de.toilette";"miroir";"vaisselle.métallique";"vaisselle.en.verre";"matériaux.précieux";"char";"lit.funéraire";"instrument.écriture";"quantité.objet";"tombe_multiple";"sexe.defunt";"classe.age.defunt";"date_debut";"date_fin";"centre_chrono";"intervalle_personnalise";"groupe_cah";"diversite"
"47";"MSB_tombe 179";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;"non";"féminin";"adulte";100;150;125;"100 - 300";"1";1
"48";"MSB_tombe 180";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;"non";"féminin";"adulte";100;150;125;"100 - 300";"1";2
"49";"MSB_tombe 184";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;6;"oui";"indéterminé";"mixte (indéterminé)";100;150;125;"100 - 300";"1";1
"50";"MSB_tombe 186";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;"non";"masculin";"adulte";100;150;125;"100 - 300";"1";1
"51";"MSB_tombe 187";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;"non";"indéterminé";"adulte";100;150;125;"100 - 300";"1";1
"52";"MSB_tombe 195";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"non";"indéterminé";"adulte";50;150;100;"100 - 300";"1";0
"53";"MSB_tombe 196";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";50;100;75;"1 - 100";"1";0
"54";"MSB_tombe 199";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"enfant";100;150;125;"100 - 300";"1";1
"55";"MSB_tombe 200";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"non";"indéterminé";"adulte";50;100;75;"1 - 100";"1";0
"56";"MSB_tombe 202";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";-30;100;35;"1 - 100";"1";1
"57";"MSB_tombe 206";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";50;100;75;"1 - 100";"1";0
"58";"MSB_tombe 207";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";-30;50;10;"1 - 100";"1";0
"59";"MSB_tombe 208";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"masculin";"adulte";50;150;100;"100 - 300";"1";0
"60";"MSB_tombe 209";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;"non";"indéterminé";"adulte";-30;50;10;"1 - 100";"1";1
"61";"MSB_tombe 219";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";50;150;100;"100 - 300";"1";0
"62";"MSB_tombe 223";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"masculin";"adulte";100;200;150;"100 - 300";"1";0
"63";"MSB_tombe 234";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";-30;50;10;"1 - 100";"1";0
"64";"MSB_tombe 236";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;"non";"masculin";"adulte";100;150;125;"100 - 300";"1";1
"65";"MSB_tombe 248";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;"non";"indéterminé";"adulte";-30;50;10;"1 - 100";"1";1
"66";"MSB_tombe 263";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";-30;50;10;"1 - 100";"1";0
"67";"MSB_tombe 27";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;"non";"féminin";"adulte";100;200;150;"100 - 300";"1";1
"68";"MSB_tombe 298";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;"non";"indéterminé";"adulte";100;150;125;"100 - 300";"1";1
"69";"MSB_tombe 3";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";50;150;100;"100 - 300";"1";0
"70";"MSB_tombe 300";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;"non";"indéterminé";"adulte";100;150;125;"100 - 300";"1";1
"71";"MSB_tombe 308";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;"non";"indéterminé";"enfant";-30;200;85;"1 - 100";"1";2
"72";"MSB_tombe 311";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";-30;50;10;"1 - 100";"1";0
"73";"MSB_tombe 312";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"indéterminé";-30;50;10;"1 - 100";"1";0
"74";"MSB_tombe 317";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"enfant";-30;200;85;"1 - 100";"1";1
"75";"MSB_tombe 322";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;"non";"indéterminé";"adulte";50;100;75;"1 - 100";"1";1
"76";"MSB_tombe 328";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;"non";"féminin";"adulte";150;200;175;"100 - 300";"1";2
"77";"MSB_tombe 330";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;1;1;0;0;0;0;0;0;1;0;0;0;0;4;"non";"indéterminé";"adulte";50;150;100;"100 - 300";"1";3
