ID;tombe;site;province;zone_geo;amphore;monnaie;lampe;armement;parure;strigile;instrument de toilette;miroir;vaisselle métallique;vaisselle en verre;matériaux précieux;char;lit funéraire;instrument écriture;quantité objet;tombe_multiple;sexe defunt;classe age defunt;date_debut;date_fin
75;AVEC_Structure 126;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;non;masculin;jeune adulte;50;130
76;AVEC_Structure 127;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;non;féminin ?;jeune adulte;130;160
77;AVEC_Structure 128;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;féminin;adulte mature;100;150
78;AVEC_Structure 13;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;indéterminé;adulte;50;130
79;AVEC_Structure 131;AVEC;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;non;masculin;adulte;130;160
80;AVEC_Structure 132;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;non;masculin;adulte;130;160
81;AVEC_Structure 133;AVEC;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;non;féminin;adulte;130;160
82;AVEC_Structure 135;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;non;féminin;adulte;130;160
83;AVEC_Structure 136;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;non;masculin;adulte;130;160
84;AVEC_Structure 137b;AVEC;Germanie;Gaule du centre-est;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;non;masculin;adulte;130;160
85;AVEC_Structure 138;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;non;masculin;jeune adulte;130;160
86;AVEC_Structure 140/141;AVEC;Germanie;Gaule du centre-est;0;0;1;0;0;0;0;0;0;1;0;0;0;0;6;non;masculin;adulte;50;130
87;AVEC_Structure 142;AVEC;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11;non;masculin;adulte;150;230
88;AVEC_Structure 144;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;non;masculin;adulte;150;230
89;AVEC_Structure 147;AVEC;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;non;masculin;adulte;150;230
90;AVEC_Structure 155/331;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;indéterminé;juvenis;0;0
91;AVEC_Structure 156b;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;non;masculin;adulte;100;150
92;AVEC_Structure 158;AVEC;Germanie;Gaule du centre-est;0;1;1;0;0;0;0;0;0;2;0;0;0;0;9;non;masculin;adulte;130;160
93;AVEC_Structure 159;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;masculin ?;adulte mature;150;230
94;AVEC_Structure 16/60/114;AVEC;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;1;0;0;0;0;2;non;masculin;adulte;130;160
95;AVEC_Structure 160;AVEC;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;non;masculin;adulte mature;150;230
