ID;site_abbreviation;fonction_nom;obj_nom;nouvelle_categorie;obj_nmi;materiau_nom;depot_nom;obj_remarque;typeSep_nom;defunt_genre;defunt_age;defunt_classe_age;phase_date_debut;phase_date_fin;province_nom;us_nom;obj_typologie;obj_longueur;obj_hauteur
1166;STL;toilette, hygiène;balsamaire;balsamaire;1;terre cuite;modalité de dépôt inconnue;extérieur urne;crémation secondaire à urne;indéterminé;;adulte;-27;96;Gaule Narbonnaise;T111B;;;16
1167;STL;toilette, hygiène;balsamaire;balsamaire;1;terre cuite;modalité de dépôt inconnue;extérieur urne;crémation secondaire à urne;indéterminé;;adulte;-27;96;Gaule Narbonnaise;T111B;;;5
1168;STL;boisson;gobelet;récipient à boire;1;verre;modalité de dépôt inconnue;intérieur coffrage;crémation primaire indéterminée;indéterminé;;adulte;-50;400;Gaule Narbonnaise;T113;;;
1169;STL;toilette, hygiène;balsamaire;balsamaire;1;verre;modalité de dépôt inconnue;intérieur urne;crémation secondaire mixte;indéterminé;;adulte;-27;70;Gaule Narbonnaise;T116;"Rütti 1991, type AR 132 ; Isings 1957, type 26a";;60
1170;STL;divers domestique;récipient indéterminé;récipient indéterminé;1;verre;modalité de dépôt inconnue;;crémation secondaire indéterminée;indéterminé;;adulte;69;96;Gaule Narbonnaise;T130;;;
1171;STL;divers domestique;récipient indéterminé;récipient indéterminé;1;verre;dépôt primaire de mobilier;intérieur coffrage;crémation secondaire à urne;indéterminé;;adulte;-27;96;Gaule Narbonnaise;T136;;;
1172;STL;indéterminé;scorie;indéterminé;1;verre;dépôt primaire de mobilier;intérieur coffrage;crémation secondaire à urne;indéterminé;;adulte;-27;96;Gaule Narbonnaise;T136;;;
1173;STL;ameublement;élément de placage;ameublement;1;os;dépôt primaire de mobilier;intérieur urne;crémation secondaire à urne;indéterminé;;adulte;-50;400;Gaule Narbonnaise;T145;;;
1174;STL;ameublement;élément de placage;ameublement;3;os;dépôt primaire de mobilier;intérieur urne;crémation secondaire à urne;indéterminé;;adulte;-50;400;Gaule Narbonnaise;T153;;;
1175;STL;indéterminé;tige;indéterminé;0;os;dépôt primaire de mobilier;intérieur urne;crémation secondaire à urne;indéterminé;;adulte;-27;96;Gaule Narbonnaise;T154A;;;22
1176;STL;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire de mobilier;extérieur urne;crémation secondaire mixte;indéterminé;;adulte;14;68;Gaule Narbonnaise;T154B;;;
1177;STL;toilette, hygiène;balsamaire;balsamaire;1;terre cuite;modalité de dépôt inconnue;extérieur urne;crémation secondaire mixte;indéterminé;;adulte;14;68;Gaule Narbonnaise;T154B;;;90
1178;STL;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire de mobilier;extérieur urne;crémation secondaire mixte;indéterminé;;adulte;14;68;Gaule Narbonnaise;T154B;;;
1179;STL;éclairage;lampe à huile;éclairage;1;terre cuite;dépôt primaire de mobilier;extérieur urne;crémation secondaire mixte;indéterminé;;adulte;14;68;Gaule Narbonnaise;T154B;;;
1180;STL;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire de mobilier;extérieur urne;crémation secondaire mixte;indéterminé;;adulte;14;68;Gaule Narbonnaise;T154B;;;
1181;STL;divers domestique;récipient indéterminé;récipient indéterminé;1;verre;modalité de dépôt inconnue;extérieur urne;crémation secondaire mixte;indéterminé;;adulte;14;68;Gaule Narbonnaise;T154B;;;14
1182;STL;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire de mobilier;intérieur urne;crémation secondaire mixte;indéterminé;;adulte;14;68;Gaule Narbonnaise;T154B;;;
1183;STL;toilette, hygiène;balsamaire;balsamaire;1;verre;modalité de dépôt inconnue;intérieur urne;crémation secondaire mixte;indéterminé;;adulte;14;68;Gaule Narbonnaise;T154B;"Rütti 1991, type AR 132 ; Isings 1957, type 26a";;63
1184;STL;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire de mobilier;intérieur fosse;crémation secondaire mixte;indéterminé;;adulte;14;68;Gaule Narbonnaise;T154B;;;
1185;STL;toilette, hygiène;balsamaire;balsamaire;1;terre cuite;modalité de dépôt inconnue;extérieur urne;crémation secondaire à urne;indéterminé;;adulte;-50;400;Gaule Narbonnaise;T157;;;90
1186;STL;toilette, hygiène;balsamaire;balsamaire;1;terre cuite;modalité de dépôt inconnue;extérieur urne;crémation secondaire à urne;indéterminé;;adulte;-50;400;Gaule Narbonnaise;T157;;;90
1187;STL;indéterminé;objet indéterminé;indéterminé;1;verre;modalité de dépôt inconnue;intérieur urne;crémation secondaire mixte;indéterminé;;adulte;-27;96;Gaule Narbonnaise;T162;;;
1188;STL;toilette, hygiène;balsamaire;balsamaire;1;terre cuite;dépôt primaire de mobilier;intérieur fosse;crémation secondaire mixte;indéterminé;;adulte;-27;14;Gaule Narbonnaise;T166;;;
1189;STL;ameublement;élément de lit funéraire;élément de lit funéraire;1;os;dépôt primaire de mobilier;intérieur fosse;crémation secondaire mixte;indéterminé;;adulte;-27;14;Gaule Narbonnaise;T166;;;
1190;STL;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire de mobilier;intérieur bustum;crémation primaire indéterminée;indéterminé;;adulte;-27;96;Gaule Narbonnaise;T167;;;
1191;STL;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire de mobilier;intérieur fosse;crémation secondaire indéterminée;indéterminé;;adulte;14;68;Gaule Narbonnaise;T178;;;
1192;STL;jeu, comptage;jeton;élément de jeu;1;os;dépôt primaire de mobilier;intérieur urne;crémation secondaire mixte;indéterminé;;adulte;-27;96;Gaule Narbonnaise;T182;;;3
1193;STL;ameublement;élément de placage;ameublement;1;os;dépôt primaire de mobilier;intérieur fosse;crémation secondaire à urne;indéterminé;;adulte;-50;400;Gaule Narbonnaise;T183;;;
1194;STL;éclairage;lampe à huile;éclairage;1;terre cuite;modalité de dépôt inconnue;extérieur urne;crémation secondaire à urne;indéterminé;;adulte;69;96;Gaule Narbonnaise;T188;;;31
1195;STL;jeu, comptage;jeton;élément de jeu;1;os;dépôt primaire de mobilier;extérieur fosse;crémation secondaire à urne;indéterminé;;adulte;69;96;Gaule Narbonnaise;T188;;;
1196;STL;divers domestique;récipient indéterminé;récipient indéterminé;1;verre;dépôt primaire de mobilier;intérieur urne;crémation secondaire à urne;indéterminé;;adulte;-27;96;Gaule Narbonnaise;T190;;;
1197;STL;toilette, hygiène;balsamaire;balsamaire;1;verre;mobilier déposé dans une inhumation;intérieur fosse;inhumation de type indéterminé;indéterminé;;adulte;-27;96;Gaule Narbonnaise;T192;;;55
1198;STL;toilette, hygiène;balsamaire;balsamaire;1;verre;mobilier déposé dans une inhumation;intérieur fosse;inhumation de type indéterminé;indéterminé;;adulte;-27;96;Gaule Narbonnaise;T192;;;58
1199;STL;toilette, hygiène;balsamaire;balsamaire;1;verre;mobilier déposé dans une inhumation;;inhumation de type indéterminé;indéterminé;;adulte;-27;96;Gaule Narbonnaise;T192;;;
1200;STL;toilette, hygiène;balsamaire;balsamaire;1;verre;dépôt primaire de mobilier;intérieur fosse;crémation secondaire mixte;indéterminé;;adulte;14;68;Gaule Narbonnaise;T198;"Rütti 1991, type AR 128.1 ; Isings 1957, type 8";;70
1201;STL;toilette, hygiène;bâtonnet-agitateur;instrument de préparation cosmétique ou pharmaceutique;1;verre;modalité de dépôt inconnue;intérieur fosse;crémation secondaire mixte;indéterminé;;adulte;14;68;Gaule Narbonnaise;T198;Isings 1957, type 79;;35,5
1202;STL;travail du textile;aiguille;travail du textile;1;os;dépôt primaire de mobilier;intérieur fosse;crémation secondaire mixte;indéterminé;;adulte;14;68;Gaule Narbonnaise;T198;;;
1203;STL;toilette, hygiène;pyxide;petite boite ou pyxide;1;os;dépôt primaire de mobilier;intérieur fosse;crémation secondaire mixte;indéterminé;;adulte;14;68;Gaule Narbonnaise;T198;;;
1204;STL;toilette, hygiène;bâtonnet-agitateur;instrument de préparation cosmétique ou pharmaceutique;1;verre;dépôt primaire de mobilier;intérieur fosse;crémation secondaire mixte;indéterminé;;adulte;14;68;Gaule Narbonnaise;T198;Isings 1957, type 79;23;
